league,league_name,country,tier,calendar,season,season_rel,period,matches_total,matches_excluded,matches,goals,normal_time_goals,stoppage_goals_1h,stoppage_goals_2h,late_equaliser_draws
lithuania,A Lyga,Lithuania,1,summer,2021,-2,pre,180,10,170,493,461,7,25,5
lithuania,A Lyga,Lithuania,1,summer,2022,-1,pre,180,15,165,471,435,9,27,6
lithuania,A Lyga,Lithuania,1,summer,2023,0,post,180,22,158,428,388,7,33,7
lithuania,A Lyga,Lithuania,1,summer,2024,1,post,180,24,156,420,384,14,22,3
lithuania,A Lyga,Lithuania,1,summer,2025,2,post,180,13,167,479,434,12,33,6
morocco,Botola Pro,Morocco,1,winter,2020-2021,-3,pre,240,35,205,537,489,10,38,12
morocco,Botola Pro,Morocco,1,winter,2021-2022,-2,pre,240,40,200,519,470,13,36,6
morocco,Botola Pro,Morocco,1,winter,2022-2023,-1,pre,240,35,205,509,437,15,57,13
morocco,Botola Pro,Morocco,1,winter,2023-2024,0,post,240,30,210,534,452,26,56,9
morocco,Botola Pro,Morocco,1,winter,2024-2025,1,post,240,22,218,555,485,25,45,9
morocco,Botola Pro,Morocco,1,winter,2025-2026,2,post,248,29,219,539,452,35,52,12
national,National League,England,4-6,winter,2021-2022,-2,pre,506,36,470,1386,1304,20,62,12
national,National League,England,4-6,winter,2022-2023,-1,pre,552,27,525,1540,1426,36,78,11
national,National League,England,4-6,winter,2023-2024,0,post,552,33,519,1623,1454,51,118,29
national,National League,England,4-6,winter,2024-2025,1,post,552,38,514,1484,1340,35,109,26
national,National League,England,4-6,winter,2025-2026,2,post,558,33,525,1614,1439,42,133,22
north,National League North,England,4-6,winter,2020-2021,-3,pre,165,8,157,458,436,6,16,9
north,National League North,England,4-6,winter,2021-2022,-2,pre,462,40,422,1220,1148,18,54,16
north,National League North,England,4-6,winter,2022-2023,-1,pre,552,52,500,1390,1296,31,63,24
north,National League North,England,4-6,winter,2023-2024,0,post,552,40,512,1474,1344,36,94,15
north,National League North,England,4-6,winter,2024-2025,1,post,552,42,510,1420,1300,39,81,17
north,National League North,England,4-6,winter,2025-2026,2,post,560,26,534,1702,1534,40,128,31
norway,Eliteserien,Norway,1,summer,2020,-3,pre,240,13,227,758,694,14,50,5
norway,Eliteserien,Norway,1,summer,2021,-2,pre,240,14,226,732,682,13,37,7
norway,Eliteserien,Norway,1,summer,2022,-1,pre,240,7,233,781,718,20,43,11
norway,Eliteserien,Norway,1,summer,2023,0,post,240,13,227,748,672,14,62,7
norway,Eliteserien,Norway,1,summer,2024,1,post,240,14,226,679,616,15,48,10
norway,Eliteserien,Norway,1,summer,2025,2,post,240,12,228,759,670,32,57,11
poland1,Ekstraklasa,Poland,1,winter,2020-2021,-3,pre,240,24,216,589,540,13,36,9
poland1,Ekstraklasa,Poland,1,winter,2021-2022,-2,pre,306,19,287,818,734,27,57,16
poland1,Ekstraklasa,Poland,1,winter,2022-2023,-1,pre,306,24,282,755,669,22,64,12
poland1,Ekstraklasa,Poland,1,winter,2023-2024,0,post,306,25,281,823,730,28,65,16
poland1,Ekstraklasa,Poland,1,winter,2024-2025,1,post,306,18,288,843,752,31,60,16
poland1,Ekstraklasa,Poland,1,winter,2025-2026,2,post,315,23,292,866,781,24,61,14
poland2,Division 1,Poland,2,winter,2020-2021,-3,pre,306,29,277,713,657,10,46,10
poland2,Division 1,Poland,2,winter,2021-2022,-2,pre,306,30,276,760,691,23,46,13
poland2,Division 1,Poland,2,winter,2022-2023,-1,pre,306,20,286,808,733,24,51,15
poland2,Division 1,Poland,2,winter,2023-2024,0,post,306,23,283,814,720,29,65,6
poland2,Division 1,Poland,2,winter,2024-2025,1,post,306,25,281,828,747,24,57,10
poland2,Division 1,Poland,2,winter,2025-2026,2,post,328,17,311,985,893,33,59,19
portugal1,Liga Portugal,Portugal,1,winter,2025-2026,2,post,308,21,287,823,736,24,63,20
portugal2,Liga Portugal 2,Portugal,2,winter,2020-2021,-3,pre,306,29,277,741,669,22,50,17
portugal2,Liga Portugal 2,Portugal,2,winter,2021-2022,-2,pre,306,26,280,760,694,13,53,12
portugal2,Liga Portugal 2,Portugal,2,winter,2022-2023,-1,pre,306,22,284,807,722,19,66,15
portugal2,Liga Portugal 2,Portugal,2,winter,2023-2024,0,post,306,24,282,749,668,23,58,12
portugal2,Liga Portugal 2,Portugal,2,winter,2024-2025,1,post,306,25,281,769,688,23,58,8
portugal2,Liga Portugal 2,Portugal,2,winter,2025-2026,2,post,310,33,277,751,654,29,68,8
premier,Premier League,England,1,winter,2020-2021,-3,pre,380,31,349,1023,948,25,50,10
premier,Premier League,England,1,winter,2021-2022,-2,pre,380,22,358,1071,977,22,72,11
premier,Premier League,England,1,winter,2022-2023,-1,pre,380,23,357,1084,1001,34,49,7
premier,Premier League,England,1,winter,2023-2024,0,post,380,11,369,1246,1098,45,103,18
premier,Premier League,England,1,winter,2024-2025,1,post,380,16,364,1115,1002,33,80,18
premier,Premier League,England,1,winter,2025-2026,2,post,380,27,353,1045,898,43,104,23
primera1,Primera RFEF - Group 1,Spain,3,winter,2021-2022,-2,pre,380,47,333,875,821,8,46,5
primera1,Primera RFEF - Group 1,Spain,3,winter,2022-2023,-1,pre,418,72,346,862,806,4,52,5
primera1,Primera RFEF - Group 1,Spain,3,winter,2023-2024,0,post,380,52,328,806,742,12,52,10
primera1,Primera RFEF - Group 1,Spain,3,winter,2024-2025,1,post,380,25,355,930,845,14,71,18
primera1,Primera RFEF - Group 1,Spain,3,winter,2025-2026,2,post,398,39,359,974,852,39,83,16
primera2,Primera RFEF - Group 2,Spain,3,winter,2021-2022,-2,pre,380,39,341,907,859,8,40,9
primera2,Primera RFEF - Group 2,Spain,3,winter,2022-2023,-1,pre,380,53,327,809,753,11,45,10
primera2,Primera RFEF - Group 2,Spain,3,winter,2023-2024,0,post,380,43,337,862,791,20,51,8
primera2,Primera RFEF - Group 2,Spain,3,winter,2024-2025,1,post,380,43,337,903,828,19,56,16
primera2,Primera RFEF - Group 2,Spain,3,winter,2025-2026,2,post,380,46,334,856,732,40,84,18
romania1,Liga 1,Romania,1,winter,2020-2021,-3,pre,240,26,214,546,510,6,30,9
romania1,Liga 1,Romania,1,winter,2021-2022,-2,pre,240,28,212,521,471,13,37,12
romania1,Liga 1,Romania,1,winter,2022-2023,-1,pre,240,17,223,562,507,20,35,10
romania1,Liga 1,Romania,1,winter,2023-2024,0,post,240,30,210,615,553,22,40,11
romania1,Liga 1,Romania,1,winter,2024-2025,1,post,240,26,214,553,492,16,45,11
romania1,Liga 1,Romania,1,winter,2025-2026,2,post,350,28,322,874,805,18,51,11
russia,Premier League,Russia,1,winter,2020-2021,-3,pre,240,19,221,631,569,23,39,1
russia,Premier League,Russia,1,winter,2021-2022,-2,pre,240,18,222,639,584,17,38,9
russia,Premier League,Russia,1,winter,2022-2023,-1,pre,240,15,225,727,653,22,52,9
russia,Premier League,Russia,1,winter,2023-2024,0,post,240,20,220,637,559,16,62,14
russia,Premier League,Russia,1,winter,2024-2025,1,post,240,20,220,648,580,18,50,12
russia,Premier League,Russia,1,winter,2025-2026,2,post,244,15,229,615,561,18,36,8
saudi1,Saudi Professional League,Saudi Arabia,1,winter,2020-2021,-3,pre,240,10,230,741,651,20,70,12
saudi1,Saudi Professional League,Saudi Arabia,1,winter,2021-2022,-2,pre,240,17,223,637,565,23,49,8
saudi1,Saudi Professional League,Saudi Arabia,1,winter,2022-2023,-1,pre,240,12,228,648,546,31,71,10
saudi1,Saudi Professional League,Saudi Arabia,1,winter,2023-2024,0,post,306,24,282,909,754,63,92,13
saudi1,Saudi Professional League,Saudi Arabia,1,winter,2024-2025,1,post,306,13,293,899,726,65,108,17
saudi1,Saudi Professional League,Saudi Arabia,1,winter,2025-2026,2,post,314,16,298,943,841,30,72,12
saudi2,Division 1,Saudi Arabia,2,winter,2020-2021,-3,pre,380,44,336,884,798,13,73,13
saudi2,Division 1,Saudi Arabia,2,winter,2021-2022,-2,pre,380,52,328,822,737,27,58,18
saudi2,Division 1,Saudi Arabia,2,winter,2022-2023,-1,pre,306,27,279,706,615,22,69,13
saudi2,Division 1,Saudi Arabia,2,winter,2023-2024,0,post,306,27,279,801,676,30,95,15
saudi2,Division 1,Saudi Arabia,2,winter,2024-2025,1,post,306,23,283,794,649,50,95,13
saudi2,Division 1,Saudi Arabia,2,winter,2025-2026,2,post,309,20,289,905,772,50,83,16
scot-champ,Championship,Scotland,2,winter,2020-2021,-3,pre,135,13,122,380,364,4,12,1
scot-champ,Championship,Scotland,2,winter,2021-2022,-2,pre,180,18,162,432,408,8,16,7
scot-champ,Championship,Scotland,2,winter,2022-2023,-1,pre,180,14,166,504,480,8,16,4
scot-champ,Championship,Scotland,2,winter,2023-2024,0,post,180,17,163,503,470,12,21,5
scot-champ,Championship,Scotland,2,winter,2024-2025,1,post,180,15,165,452,424,4,24,6
scot-champ,Championship,Scotland,2,winter,2025-2026,2,post,190,26,164,455,426,9,20,7
scot-premier,Premiership,Scotland,1,winter,2020-2021,-3,pre,198,17,181,475,448,8,19,6
scot-premier,Premiership,Scotland,1,winter,2021-2022,-2,pre,198,17,181,491,467,10,14,5
scot-premier,Premiership,Scotland,1,winter,2022-2023,-1,pre,198,6,192,583,529,19,35,10
scot-premier,Premiership,Scotland,1,winter,2023-2024,0,post,198,14,184,526,461,15,50,16
scot-premier,Premiership,Scotland,1,winter,2024-2025,1,post,198,10,188,584,514,16,54,12
scot-premier,Premiership,Scotland,1,winter,2025-2026,2,post,234,17,217,643,582,14,47,8
scot1,League One,Scotland,3,winter,2020-2021,-3,pre,90,6,84,215,203,3,9,2
scot1,League One,Scotland,3,winter,2021-2022,-2,pre,180,10,170,507,472,7,28,8
scot1,League One,Scotland,3,winter,2022-2023,-1,pre,180,11,169,533,499,10,24,5
scot1,League One,Scotland,3,winter,2023-2024,0,post,180,8,172,571,531,13,27,5
scot1,League One,Scotland,3,winter,2024-2025,1,post,180,13,167,486,454,7,25,6
scot1,League One,Scotland,3,winter,2025-2026,2,post,191,11,180,506,477,7,22,6
scot2,League Two,Scotland,4-6,winter,2020-2021,-3,pre,90,6,84,245,232,3,10,1
scot2,League Two,Scotland,4-6,winter,2021-2022,-2,pre,180,12,168,468,444,7,17,6
scot2,League Two,Scotland,4-6,winter,2022-2023,-1,pre,180,8,172,489,450,10,29,7
scot2,League Two,Scotland,4-6,winter,2023-2024,0,post,180,17,163,467,428,10,29,8
scot2,League Two,Scotland,4-6,winter,2024-2025,1,post,180,13,167,469,432,9,28,3
scot2,League Two,Scotland,4-6,winter,2025-2026,2,post,188,9,179,552,511,13,28,7
segunda1,Segunda Division B - Group 1,Spain,4-6,winter,2020-2021,-3,pre,180,18,162,379,369,1,9,2
segunda1,Segunda Division B - Group 1,Spain,4-6,winter,2021-2022,-2,pre,306,31,275,735,696,3,36,9
segunda1,Segunda Division B - Group 1,Spain,4-6,winter,2022-2023,-1,pre,306,35,271,648,613,1,34,6
segunda1,Segunda Division B - Group 1,Spain,4-6,winter,2023-2024,0,post,306,36,270,714,654,12,48,9
segunda1,Segunda Division B - Group 1,Spain,4-6,winter,2024-2025,1,post,306,35,271,719,659,16,44,9
segunda1,Segunda Division B - Group 1,Spain,4-6,winter,2025-2026,2,post,306,29,277,773,710,7,56,11
segunda2,Segunda Division B - Group 2,Spain,4-6,winter,2020-2021,-3,pre,200,23,177,433,420,0,13,5
segunda2,Segunda Division B - Group 2,Spain,4-6,winter,2021-2022,-2,pre,306,36,270,755,721,5,29,7
segunda2,Segunda Division B - Group 2,Spain,4-6,winter,2022-2023,-1,pre,306,34,272,694,664,3,27,7
segunda2,Segunda Division B - Group 2,Spain,4-6,winter,2023-2024,0,post,306,42,264,691,639,9,43,7
segunda2,Segunda Division B - Group 2,Spain,4-6,winter,2024-2025,1,post,306,28,278,719,669,7,43,8
segunda2,Segunda Division B - Group 2,Spain,4-6,winter,2025-2026,2,post,306,28,278,769,700,11,58,14
segunda3,Segunda Division B - Group 3,Spain,4-6,winter,2020-2021,-3,pre,200,26,174,413,404,0,9,3
segunda3,Segunda Division B - Group 3,Spain,4-6,winter,2021-2022,-2,pre,306,31,275,693,667,4,22,5
segunda3,Segunda Division B - Group 3,Spain,4-6,winter,2022-2023,-1,pre,306,42,264,652,623,4,25,5
segunda3,Segunda Division B - Group 3,Spain,4-6,winter,2023-2024,0,post,306,31,275,742,686,15,41,7
segunda3,Segunda Division B - Group 3,Spain,4-6,winter,2024-2025,1,post,306,27,279,724,667,16,41,10
segunda3,Segunda Division B - Group 3,Spain,4-6,winter,2025-2026,2,post,306,33,273,742,671,13,58,19
segunda4,Segunda Division B - Group 4,Spain,4-6,winter,2020-2021,-3,pre,180,25,155,386,374,2,10,3
segunda4,Segunda Division B - Group 4,Spain,4-6,winter,2021-2022,-2,pre,306,32,274,736,700,5,31,8
segunda4,Segunda Division B - Group 4,Spain,4-6,winter,2022-2023,-1,pre,306,33,273,673,634,1,38,5
segunda4,Segunda Division B - Group 4,Spain,4-6,winter,2023-2024,0,post,306,46,260,631,581,10,40,2
segunda4,Segunda Division B - Group 4,Spain,4-6,winter,2024-2025,1,post,306,33,273,629,576,10,43,14
segunda4,Segunda Division B - Group 4,Spain,4-6,winter,2025-2026,2,post,323,28,295,738,676,11,51,5
segunda5,Segunda Division B - Group 5,Spain,4-6,winter,2020-2021,-3,pre,180,29,151,371,356,0,15,5
segunda5,Segunda Division B - Group 5,Spain,4-6,winter,2021-2022,-2,pre,306,35,271,640,607,3,30,8
segunda5,Segunda Division B - Group 5,Spain,4-6,winter,2022-2023,-1,pre,340,86,254,655,619,3,33,5
segunda5,Segunda Division B - Group 5,Spain,4-6,winter,2023-2024,0,post,306,40,266,675,639,8,28,10
segunda5,Segunda Division B - Group 5,Spain,4-6,winter,2024-2025,1,post,306,29,277,754,676,8,70,10
segunda5,Segunda Division B - Group 5,Spain,4-6,winter,2025-2026,2,post,306,27,279,783,721,13,49,7
serbia1,Serbia,Serbia,1,winter,2020-2021,-3,pre,380,26,354,1021,982,12,27,4
serbia1,Serbia,Serbia,1,winter,2021-2022,-2,pre,240,21,219,618,582,8,28,7
serbia1,Serbia,Serbia,1,winter,2022-2023,-1,pre,240,24,216,585,561,7,17,2
serbia1,Serbia,Serbia,1,winter,2023-2024,0,post,240,12,228,647,588,14,45,9
serbia1,Serbia,Serbia,1,winter,2024-2025,1,post,240,20,220,677,624,12,41,9
serbia1,Serbia,Serbia,1,winter,2025-2026,2,post,297,37,260,788,714,26,48,10
slovenia1,Prva liga,Slovenia,1,winter,2020-2021,-3,pre,180,25,155,419,398,7,14,1
slovenia1,Prva liga,Slovenia,1,winter,2021-2022,-2,pre,180,15,165,457,425,6,26,6
slovenia1,Prva liga,Slovenia,1,winter,2022-2023,-1,pre,180,16,164,457,415,11,31,8
slovenia1,Prva liga,Slovenia,1,winter,2023-2024,0,post,180,12,168,499,463,11,25,4
slovenia1,Prva liga,Slovenia,1,winter,2024-2025,1,post,180,13,167,498,460,7,31,7
slovenia1,Prva liga,Slovenia,1,winter,2025-2026,2,post,164,9,155,498,455,9,34,9
south,National League South,England,4-6,winter,2020-2021,-3,pre,165,9,156,489,458,11,20,3
south,National League South,England,4-6,winter,2021-2022,-2,pre,420,24,396,1242,1175,20,47,10
south,National League South,England,4-6,winter,2022-2023,-1,pre,552,36,516,1550,1462,27,61,17
south,National League South,England,4-6,winter,2023-2024,0,post,550,33,517,1561,1437,31,93,21
south,National League South,England,4-6,winter,2024-2025,1,post,549,36,513,1491,1350,39,102,25
south,National League South,England,4-6,winter,2025-2026,2,post,605,42,563,1698,1512,44,142,30
spain1,La Liga,Spain,1,winter,2020-2021,-3,pre,380,30,350,953,892,22,39,7
spain1,La Liga,Spain,1,winter,2021-2022,-2,pre,380,44,336,946,844,22,80,20
spain1,La Liga,Spain,1,winter,2022-2023,-1,pre,380,26,354,955,868,26,61,14
spain1,La Liga,Spain,1,winter,2023-2024,0,post,380,31,349,1005,882,39,84,16
spain1,La Liga,Spain,1,winter,2024-2025,1,post,380,21,359,995,885,31,79,14
spain1,La Liga,Spain,1,winter,2025-2026,2,post,380,15,365,1024,896,39,89,23
spain2,La Liga2,Spain,2,winter,2020-2021,-3,pre,462,51,411,946,877,14,55,16
spain2,La Liga2,Spain,2,winter,2021-2022,-2,pre,462,43,419,1122,1043,18,61,11
spain2,La Liga2,Spain,2,winter,2022-2023,-1,pre,462,68,394,932,821,34,77,14
spain2,La Liga2,Spain,2,winter,2023-2024,0,post,462,50,412,1039,917,35,87,24
spain2,La Liga2,Spain,2,winter,2024-2025,1,post,462,45,417,1165,1028,37,100,19
spain2,La Liga2,Spain,2,winter,2025-2026,2,post,509,40,469,1335,1199,34,102,17
sweden1,Allsvenskan,Sweden,1,summer,2020,-3,pre,240,17,223,674,620,16,38,18
sweden1,Allsvenskan,Sweden,1,summer,2021,-2,pre,240,19,221,638,583,18,37,8
sweden1,Allsvenskan,Sweden,1,summer,2022,-1,pre,240,15,225,662,598,15,49,10
sweden1,Allsvenskan,Sweden,1,summer,2023,0,post,240,17,223,665,598,19,48,7
sweden1,Allsvenskan,Sweden,1,summer,2024,1,post,240,11,229,680,618,26,36,12
sweden1,Allsvenskan,Sweden,1,summer,2025,2,post,240,14,226,683,625,14,44,5
sweden2,Superettan,Sweden,2,summer,2020,-3,pre,240,17,223,647,606,9,32,12
sweden2,Superettan,Sweden,2,summer,2021,-2,pre,240,19,221,612,570,9,33,6
sweden2,Superettan,Sweden,2,summer,2022,-1,pre,240,14,226,697,634,13,50,7
sweden2,Superettan,Sweden,2,summer,2023,0,post,240,17,223,673,616,13,44,10
sweden2,Superettan,Sweden,2,summer,2024,1,post,240,20,220,633,572,12,49,14
sweden2,Superettan,Sweden,2,summer,2025,2,post,240,18,222,686,608,18,60,12
swiss1,Super League,Switzerland,1,winter,2020-2021,-3,pre,180,12,168,515,479,9,27,6
swiss1,Super League,Switzerland,1,winter,2021-2022,-2,pre,180,4,176,585,531,11,43,15
swiss1,Super League,Switzerland,1,winter,2022-2023,-1,pre,180,11,169,534,494,13,27,4
swiss1,Super League,Switzerland,1,winter,2023-2024,0,post,198,8,190,569,518,10,41,5
swiss1,Super League,Switzerland,1,winter,2024-2025,1,post,198,9,189,565,519,11,35,5
swiss1,Super League,Switzerland,1,winter,2025-2026,2,post,230,11,219,750,690,10,50,8
swiss2,Challenge League,Switzerland,2,winter,2020-2021,-3,pre,180,10,170,503,463,4,36,10
swiss2,Challenge League,Switzerland,2,winter,2021-2022,-2,pre,180,12,168,578,546,8,24,4
swiss2,Challenge League,Switzerland,2,winter,2022-2023,-1,pre,180,9,171,564,520,5,39,7
swiss2,Challenge League,Switzerland,2,winter,2023-2024,0,post,180,11,169,517,474,9,34,10
swiss2,Challenge League,Switzerland,2,winter,2024-2025,1,post,180,12,168,537,492,11,34,10
swiss2,Challenge League,Switzerland,2,winter,2025-2026,2,post,186,12,174,566,514,10,42,5
thai1,Thai League 1,Thailand,1,winter,2021-2022,-2,pre,240,20,220,610,542,20,48,7
thai1,Thai League 1,Thailand,1,winter,2022-2023,-1,pre,240,15,225,647,574,17,56,12
thai1,Thai League 1,Thailand,1,winter,2023-2024,0,post,240,18,222,732,634,23,75,15
thai1,Thai League 1,Thailand,1,winter,2024-2025,1,post,240,16,224,732,633,28,71,11
thai1,Thai League 1,Thailand,1,winter,2025-2026,2,post,240,17,223,642,550,28,64,16
turkey1,Super Lig,Turkey,1,winter,2020-2021,-3,pre,420,38,382,1136,1000,50,86,21
turkey1,Super Lig,Turkey,1,winter,2021-2022,-2,pre,380,23,357,1067,964,34,69,13
turkey1,Super Lig,Turkey,1,winter,2022-2023,-1,pre,342,45,297,954,826,49,79,17
turkey1,Super Lig,Turkey,1,winter,2023-2024,0,post,380,29,351,1059,925,43,91,16
turkey1,Super Lig,Turkey,1,winter,2024-2025,1,post,342,26,316,1001,880,43,78,12
turkey1,Super Lig,Turkey,1,winter,2025-2026,2,post,306,28,278,812,710,35,67,15
turkey2,1. Lig,Turkey,2,winter,2020-2021,-3,pre,306,23,283,851,756,22,73,10
turkey2,1. Lig,Turkey,2,winter,2021-2022,-2,pre,342,24,318,901,818,25,58,7
turkey2,1. Lig,Turkey,2,winter,2022-2023,-1,pre,342,53,289,831,722,39,70,11
turkey2,1. Lig,Turkey,2,winter,2023-2024,0,post,306,28,278,725,627,22,76,11
turkey2,1. Lig,Turkey,2,winter,2024-2025,1,post,380,29,351,1008,898,36,74,17
turkey2,1. Lig,Turkey,2,winter,2025-2026,2,post,385,30,355,1120,989,43,88,11
wbelgium1,Super League Women,Belgium,women,winter,2020-2021,-3,pre,90,6,84,324,323,1,0,0
wbelgium1,Super League Women,Belgium,women,winter,2021-2022,-2,pre,90,1,89,338,328,0,10,1
wbelgium1,Super League Women,Belgium,women,winter,2022-2023,-1,pre,110,7,103,373,369,1,3,0
wbelgium1,Super League Women,Belgium,women,winter,2023-2024,0,post,90,4,86,304,294,2,8,0
wbelgium1,Super League Women,Belgium,women,winter,2024-2025,1,post,84,2,82,265,252,0,13,1
wbelgium1,Super League Women,Belgium,women,winter,2025-2026,2,post,108,6,102,324,305,4,15,2
wfrance1,Division 1 Women,France,women,winter,2020-2021,-3,pre,132,10,122,422,405,3,14,1
wfrance1,Division 1 Women,France,women,winter,2021-2022,-2,pre,132,6,126,423,390,10,23,0
wfrance1,Division 1 Women,France,women,winter,2022-2023,-1,pre,132,5,127,404,377,7,20,1
wfrance1,Division 1 Women,France,women,winter,2023-2024,0,post,132,4,128,465,429,9,27,7
wfrance1,Division 1 Women,France,women,winter,2024-2025,1,post,132,12,120,437,395,11,31,3
wfrance1,Division 1 Women,France,women,winter,2025-2026,2,post,135,11,124,398,363,15,20,3
wgermany1,Frauen-Bundesliga,Germany,women,winter,2020-2021,-3,pre,132,9,123,458,439,7,12,2
wgermany1,Frauen-Bundesliga,Germany,women,winter,2021-2022,-2,pre,132,7,125,467,449,1,17,2
wgermany1,Frauen-Bundesliga,Germany,women,winter,2022-2023,-1,pre,132,10,122,427,411,6,10,0
wgermany1,Frauen-Bundesliga,Germany,women,winter,2023-2024,0,post,132,8,124,422,380,9,33,5
wgermany1,Frauen-Bundesliga,Germany,women,winter,2024-2025,1,post,132,5,127,411,378,7,26,2
wgermany1,Frauen-Bundesliga,Germany,women,winter,2025-2026,2,post,182,7,175,627,572,17,38,6
wsweden,Allsvenskan Women,Sweden,women,summer,2020,-3,pre,132,5,127,383,358,7,18,1
wsweden,Allsvenskan Women,Sweden,women,summer,2021,-2,pre,132,12,120,348,327,2,19,2
wsweden,Allsvenskan Women,Sweden,women,summer,2022,-1,pre,182,7,175,559,523,7,29,1
wsweden,Allsvenskan Women,Sweden,women,summer,2023,0,post,182,11,171,565,523,13,29,5
wsweden,Allsvenskan Women,Sweden,women,summer,2024,1,post,182,16,166,558,525,6,27,2
wsweden,Allsvenskan Women,Sweden,women,summer,2025,2,post,182,4,178,606,569,13,24,1
